EntidadWifi,NombreEntidad,same_as_wikidata_nombre_entidad,HORARIO,EQUIPAMIENTO,TRANSPORTE_1,Linea_1,TRANSPORTE_2,Linea_2,ACCESIBILIDAD,CONTENT-URL,VIA,same_as_wikidata_via,TIPO-NUM,NUM,CIUDAD,same_as_wikidata_ciudad,PROVINCIA,same_as_wikidata_provincia,CODIGO-POSTAL,COD-BARRIO,BARRIO,same_as_wikidata_barrio,COD-DISTRITO,DISTRITO,same_as_wikidata_distrito,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL,TipoEntidadWifi
5989871,Auditorio_Carmen_Laforet,,"De lunes a sábado, de 9 a 21 horas.",Aforo: 190 personas Zona wifi,Metro_de_Madrid,1_4_1,,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fca22248514ae210VgnVCM1000000b205a0aRCRD,CALLE_DE_JAZMIN,,V,46,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28033,9,COSTILLARES,https://wikidata.org/entity/Q331385,15,CIUDAD_LINEAL,https://wikidata.org/entity/Q1763694,443573,4481211,40.47967249471556,-3.6657243894913565,913831456,cscsiena@madrid.es,"AuditoriosSalasConcierto"
11832607,Auditorio_Joaquin_Rosado,,,Aforo: 280 personas. Zona wifi.,,,,,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66615b2575814810VgnVCM1000001d4a900aRCRD,CALLE_DE_SANTA_POLA,,V,22,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28008,1,CASA_DE_CAMPO,https://wikidata.org/entity/Q16302441,9,MONCLOAARAVACA,https://wikidata.org/entity/Q2017682,437516,4475994,40.432243310641894,-3.7366613378902462,915487772,ccadiaz@madrid.es,"AuditoriosSalasConcierto"
169873,Aula_ambiental_La_Cabana_del_Retiro,,De 10 a 14 y de 16:00 a 18:30 horas.  Verano: de 16 a 19:30 horas.  San Isidro: de 10 a 14 horas.,"Actividades:    Escolares: la Cabaña ofrece una completa oferta para grupos escolares. La duración de las actividades es de alrededor de dos horas y media.  Asociaciones y otros grupos: previa solicitud. La Cabaña ofrece actividades a grupos cerrados de diversan índole. La Cabaña del Retiro ofrece actividades familiares todos los domingos, en horario de 11 a 13 horas y los sábados por la tarde; en invierno de 16:30 a 18 horas y en verano de 17:30 a 19:30 horas. Puntualmente se realizan itinerarios guiados para adultos por el parque del Retiro. Una vez al mes ofrece visitar otra zona verde de Madrid. Curso anual de huerto urbano para adultos.  Todas las actividades de La Cabaña son gratuitas. Se requiere reserva previa a través de correo electrónico, teléfono o de forma presencial. Zona wifi.",,,,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=97521076c081c010VgnVCM1000000b205a0aRCRD,PASEO_DE_FERNAN_NUNEZ,,V,10,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28009,5,JERONIMOS,https://wikidata.org/entity/Q10306766,3,RETIRO,https://wikidata.org/entity/Q2002296,442360,4473388,40.40912277790706,-3.6793179644920584,915046546__915040131,aularetiro@gmail.com,"CentrosEducacionAmbiental"
1881,Biblioteca_Historica_Municipal,https://wikidata.org/entity/Q18924959,"Horario general: de lunes a viernes, de 8:30 horas a 14:30 horas. Ampliación de horario general: de lunes a jueves, de 14:30 a 17:00 horas, a través de cita previa en el correo electrónico: bibliotecah@madrid.es  Horario de verano (del 15 de junio al 15 de septiembre) y semana de San Isidro: de lunes a viernes, de 8:30 a 13:30 horas. Ampliación de horario de verano: de lunes a jueves, de 13:30 a 15:30 horas, a través de cita previa en el correo electrónico: bibliotecah@madrid.es Cerrada: festivos y los días 24 y 31 de diciembre.","Préstamo en Sala de investigación. Consulta de la colección de referencia en la Sala de investigación.  Petición anticipada de documentos. Información bibliográfica por correo postal, correo electrónico y teléfono.  Reprografía.   Catálogo en línea    Requisitos: Ser mayor de edad y tener carné de la biblioteca.",Metro_de_Madrid,3_2_3_1_0_2_4_2_3_1_0,,,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ccbc3d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE_DEL_CONDE_DUQUE,https://wikidata.org/entity/Q27031730,V,9,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28015,5,UNIVERSIDAD,https://wikidata.org/entity/Q10387767,1,CENTRO,https://wikidata.org/entity/Q1763376,439723,4475437,40.42737760210632,-3.7106116887809817,913716489,bibliotecah@madrid.es,"BibliotecasPatrimoniales"
6779450,Biblioteca_Musical_Victor_Espinos,https://wikidata.org/entity/Q19517348,Horario general:    Horario de atención al público: de lunes a viernes de 8:30 a 21 horas.  Horario  de cabinas de ensayo: de 9 a 20 horas.   Horario de verano:    Horario de atención al público: de lunes a viernes de 8:30 a 20 horas.  Horario  de cabinas de ensayo: de 9 a 20 horas.  Cerrado festivos y los días 24 y 31 de diciembre.,"Espacios:  Sala de consulta y lectura; cabinas de ensayo (con cita previa); sala polivalente.  Servicios:   Préstamo de libros, partituras, multimedia y revistas; consulta y reproducción de fondo antiguo; préstamo de instrumentos (con cita previa); zona WiFi; información bibliográfica; formación de usuarios; reprografía.",Metro_de_Madrid,3_2_3_1_0_2_4_2_3_1_0,,,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d482270f58c6c310VgnVCM2000000c205a0aRCRD,CALLE_DEL_CONDE_DUQUE,https://wikidata.org/entity/Q27031730,V,9,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28015,5,UNIVERSIDAD,https://wikidata.org/entity/Q10387767,1,CENTRO,https://wikidata.org/entity/Q1763376,439723,4475437,40.42737760210632,-3.7106116887809817,915885760,bibliomusical@madrid.es,"BibliotecasEspecializadasUniversitarias"
1757,Biblioteca_Publica_Municipal__Aluche,https://wikidata.org/entity/Q85697879,Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Espacios:   Sala de consulta y lectura. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros) Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,6_5,Cercanias__Renfe,5,"1,5,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7f0e3d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE_DE_CAMARENA,,V,10,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28047,4,ALUCHE,https://wikidata.org/entity/Q31140,10,LATINA,https://wikidata.org/entity/Q794954,435820,4471982,40.39597072367931,-3.7562716852987847,917198996,bpaluche@madrid.es,"BibliotecasPublicas"
1755,Ana_Maria_Matute_Municipal_Public_Library,https://wikidata.org/entity/Q70135254,Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Espacios:   Sala de consulta y lectura.  Sala polivalente y sala de trabajo en grupo. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Equipos de autopréstamo. Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros) Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,5,,,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=628e3d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE_DE_ISAAC_ALBENIZ,,V,1,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28019,3,SAN_ISIDRO,https://wikidata.org/entity/Q3813733,11,CARABANCHEL,https://wikidata.org/entity/Q1001991,438891,4472167,40.39786734087938,-3.720088245008897,915880830,bpanammatute@madrid.es,"BibliotecasPublicas"
5768564,Biblioteca_Publica_Municipal__Angel_Gonzalez,https://wikidata.org/entity/Q85697883,"Apertura de lunes a domingo.  Horario: de lunes a viernes de 8:30 a 21 horas; sábados y domingos de 8:30 a 15 horas.   Verano (del 15 de junio al 15 de septiembre): de lunes a viernes de 8:30 a 20 horas; sábados y domingos de 8:30 a 14 horas.   Cerrado: festivos, Semana Santa (de jueves a domingo), los dos últimos fines de semana de julio y los fines de semana de agosto, el 24 y 31 de diciembre.","Espacios:   Sala de consulta y lectura.  Sala polivalente y de actividades. Zona de publicaciones periódicas. Sala infantil y juvenil. Bebeteca.    Servicios:   Equipos de autopréstamo. Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,5,,,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD,CALLE_DE_GRANJA_DE_TORREHERMOSA,,V,1,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28024,4,ALUCHE,https://wikidata.org/entity/Q31140,10,LATINA,https://wikidata.org/entity/Q794954,434954,4472113,40.397074625115906,-3.7664885474841556,915123542,bpangelgonzalez@madrid.es,"BibliotecasPublicas"
1882,Biblioteca_Publica_Municipal__Benito_Perez_Galdos,https://wikidata.org/entity/Q85697887,"Apertura de lunes a domingo.  Horario: Lunes a viernes de 8:30 a 21. Sábados y domingos de 8:30 a 15. Verano (del 15 de junio al 15 de septiembre): Lunes a viernes de 8:30 a 20. Sábados y domingos de 8:30 a 14.  Cerrado: festivos, Semana Santa (de jueves a domingo), los dos últimos fines de semana de julio y los fines de semana de agosto, el 24 y 31 de diciembre.   Sala de Estudio:  Lunes a viernes de 8:30 a 21. Sábados, domingos y festivos de 8:30 a 20:30. Verano: Lunes a viernes de 8:30 a 19:45. Sábados, domingos y festivos de 8:30 a 19:45 horas.","Espacios:   Sala de consulta y lectura. Zona de publicaciones periódicas. Sala infantil y juvenil.   Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,3_2_3_1_0_2_4_2_3_1_0,,,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE_DEL_CONDE_DUQUE,https://wikidata.org/entity/Q27031730,V,9,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28015,5,UNIVERSIDAD,https://wikidata.org/entity/Q10387767,1,CENTRO,https://wikidata.org/entity/Q1763376,439723,4475438,40.42738668300474,-3.7105999955473625,915885910_914801472,bpperezgaldos@madrid.es,"BibliotecasPublicas"
1745,Biblioteca_Publica_Municipal__Canillejas,https://wikidata.org/entity/Q85697890,Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Espacios:   Sala de consulta y lectura.  Sala polivalente. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,5,,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb9e995a8bf5d010VgnVCM2000000c205a0aRCRD,CALLE_DE_BOLTANA,,NUM,23,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28022,7,CANILLEJAS,https://wikidata.org/entity/Q663013,20,SAN_BLASCANILLEJAS,https://wikidata.org/entity/Q2001937,448119,4477485,40.44640229188281,-3.6117933204271098,917411134,bpcanillejas@madrid.es,"BibliotecasPublicas"
